"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4297,Tananarive,6297,Tananarive 1925,9108,7022,8901,9603,-189.0,-242.0,-91.0,,,,
4298,Timbalai 1948,6298,Timbalai 1948,9108,7016,8901,,,,,,,,
4299,TM65,6299,TM65,9108,7002,8901,,,,,,,,
4300,TM75,6300,TM75,9108,7002,8901,,,,,,,,
4301,Tokyo,6301,Tokyo,9108,7004,8901,,,,,,,,
4302,Trinidad 1903,6302,Trinidad 1903,9108,7007,8901,9603,-61.702,284.488,472.052,,,,
4303,"TC(1948)",6303,Trucial Coast 1948,9108,7020,8901,,,,,,,,
4304,Voirol 1875,6304,Voirol 1875,9108,7011,8901,9603,-73.0,-247.0,227.0,,,,
4306,Bern 1938,6306,Bern 1938,9108,7004,8901,,,,,,,,
4307,Nord Sahara 1959,6307,Nord Sahara 1959,9108,7012,8901,,,,,,,,
4308,RT38,6308,Stockholm 1938,9108,7004,8901,,,,,,,,
4309,Yacare,6309,Yacare,9108,7022,8901,9603,-155.0,171.0,37.0,,,,
4310,Yoff,6310,Yoff,9108,7011,8901,,,,,,,,
4311,Zanderij,6311,Zanderij,9108,7022,8901,9603,-265.0,120.0,-358.0,,,,
4312,MGI,6312,Militar-Geographische Institut,9108,7004,8901,,,,,,,,
4313,Belge 1972,6313,Reseau National Belge 1972,9108,7022,8901,,,,,,,,
4314,DHDN,6314,Deutsches Hauptdreiecksnetz,9108,7004,8901,,,,,,,,
4315,Conakry 1905,6315,Conakry 1905,9108,7011,8901,9603,-23.0,259.0,-9.0,,,,
4316,Dealul Piscului 1933,6316,Dealul Piscului 1933,9108,7022,8901,9603,103.25,-100.4,-307.19,,,,
4317,Dealul Piscului 1970,6317,Dealul Piscului 1970,9108,7024,8901,,,,,,,,
4318,NGN,6318,National Geodetic Network,9108,7030,8901,,,,,,,,
4319,KUDAMS,6319,Kuwait Utility,9108,7019,8901,,,,,,,,
4322,WGS 72,6322,World Geodetic System 1972,9108,7043,8901,,,,,,,,
4324,WGS 72BE,6324,WGS 72 Transit Broadcast Ephemeris,9108,7043,8901,9606,0.0,0.0,1.9,0.0,0.0,0.814,-0.38
4326,WGS 84,6326,World Geodetic System 1984,9108,7030,8901,,,,,,,,
4600,Anguilla 1957,6600,Anguilla 1957,9108,7012,8901,,,,,,,,
4601,Antigua 1943,6601,Antigua 1943,9108,7012,8901,9603,-255.0,-15.0,71.0,,,,
4602,Dominica 1945,6602,Dominica 1945,9108,7012,8901,9603,725.0,685.0,536.0,,,,
4603,Grenada 1953,6603,Grenada 1953,9108,7012,8901,9603,72.0,213.7,93.0,,,,
4604,Montserrat 1958,6604,Montserrat 1958,9108,7012,8901,9603,174.0,359.0,365.0,,,,
4605,St. Kitts 1955,6605,St. Kitts 1955,9108,7012,8901,9603,9.0,183.0,236.0,,,,
4606,St. Lucia 1955,6606,St. Lucia 1955,9108,7012,8901,9603,-149.0,128.0,296.0,,,,
4607,St. Vincent 1945,6607,St. Vincent 1945,9108,7012,8901,,,,,,,,
4608,"NAD27(76)",6608,"North American Datum 1927 (1976)",9108,7008,8901,,,,,,,,
4609,"NAD27(CGQ77)",6609,"North American Datum 1927 (CGQ77)",9108,7008,8901,,,,,,,,
4610,Xian 1980,6610,Xian 1980,9108,7049,8901,,,,,,,,
4611,Hong Kong 1980,6611,Hong Kong 1980,9108,7022,8901,9606,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.094246
4612,JGD2000,6612,Japanese Geodetic Datum 2000,9108,7019,8901,9603,0.0,0.0,0.0,,,,
4613,Segara,6613,Gunung Segara,9108,7004,8901,9603,-404.78,685.68,45.47,,,,
4614,QND95,6614,Qatar National Datum 1995,9108,7022,8901,9606,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.657065
4615,Porto Santo,6615,Porto Santo,9108,7022,8901,,,,,,,,
4616,Selvagem Grande,6616,Selvagem Grande,9108,7022,8901,,,,,,,,
4617,"NAD83(CSRS)",6140,NAD83 Canadian Spatial Reference System,9108,7019,8901,9603,0.0,0.0,0.0,,,,
4801,"Bern 1898 (Bern)",6801,"CH1903 (Bern)",9108,7004,8907,,,,,,,,
4802,"Bogota 1975 (Bogota)",6802,"Bogota 1975 (Bogota)",9108,7022,8904,,,,,,,,
4803,"Lisbon (Lisbon)",6803,"Lisbon 1937 (Lisbon)",9108,7022,8902,,,,,,,,
4804,"Makassar (Jakarta)",6804,"Makassar (Jakarta)",9108,7004,8908,,,,,,,,
4805,"MGI (Ferro)",6805,"Militar-Geographische Institut (Ferro)",9108,7004,8909,,,,,,,,
4806,"Monte Mario (Rome)",6806,"Monte Mario (Rome)",9108,7022,8906,,,,,,,,
